EURUSD,202006010124,1.113790,1.113910,1.113790,1.113860,0
EURUSD,202006010125,1.113860,1.113860,1.113760,1.113760,0
EURUSD,202006010126,1.113770,1.113890,1.113760,1.113880,0
EURUSD,202006010127,1.113880,1.113980,1.113850,1.113900,0
EURUSD,202006010128,1.113900,1.113900,1.113800,1.113850,0
EURUSD,202006010129,1.113830,1.113830,1.113700,1.113770,0
EURUSD,202006010130,1.113780,1.113890,1.113730,1.113890,0
EURUSD,202006010131,1.113890,1.113890,1.113850,1.113890,0
EURUSD,202006010132,1.113890,1.113930,1.113850,1.113910,0
EURUSD,202006010133,1.113920,1.113970,1.113870,1.113970,0
EURUSD,202006010134,1.113980,1.114250,1.113960,1.114150,0
EURUSD,202006010135,1.114140,1.114150,1.113970,1.113970,0
EURUSD,202006010136,1.113990,1.114000,1.113960,1.113980,0
EURUSD,202006010137,1.113980,1.114010,1.113960,1.113990,0
EURUSD,202006010138,1.114000,1.114020,1.114000,1.114020,0
EURUSD,202006010139,1.114030,1.114030,1.113980,1.113980,0
EURUSD,202006010140,1.114000,1.114030,1.113990,1.114010,0
EURUSD,202006010141,1.114020,1.114180,1.114020,1.114070,0
EURUSD,202006010142,1.114060,1.114060,1.114020,1.114060,0
EURUSD,202006010143,1.114060,1.114130,1.114030,1.114120,0
EURUSD,202006010144,1.114120,1.114120,1.114010,1.114060,0
EURUSD,202006010145,1.114070,1.114110,1.114070,1.114110,0
EURUSD,202006010146,1.114110,1.114110,1.114000,1.114020,0
EURUSD,202006010147,1.114010,1.114010,1.113850,1.113850,0
EURUSD,202006010148,1.113860,1.113890,1.113830,1.113870,0
EURUSD,202006010149,1.113860,1.113880,1.113740,1.113760,0
EURUSD,202006010150,1.113750,1.113790,1.113750,1.113780,0
EURUSD,202006010151,1.113790,1.113840,1.113760,1.113820,0
EURUSD,202006010152,1.113820,1.113870,1.113790,1.113800,0
EURUSD,202006010153,1.113810,1.113860,1.113740,1.113740,0
EURUSD,202006010154,1.113740,1.113890,1.113730,1.113880,0
EURUSD,202006010155,1.113890,1.113950,1.113790,1.113790,0
EURUSD,202006010156,1.113790,1.113940,1.113790,1.113900,0
EURUSD,202006010157,1.113920,1.114060,1.113850,1.114060,0
EURUSD,202006010158,1.114050,1.114050,1.113940,1.113970,0
EURUSD,202006010159,1.113980,1.114000,1.113940,1.113980,0
EURUSD,202006010200,1.113960,1.114160,1.113870,1.114160,0
EURUSD,202006010201,1.114160,1.114160,1.113800,1.113890,0
EURUSD,202006010202,1.113870,1.113990,1.113830,1.113960,0
EURUSD,202006010203,1.113950,1.114090,1.113880,1.114070,0
EURUSD,202006010204,1.114060,1.114120,1.113980,1.114060,0
EURUSD,202006010205,1.114080,1.114230,1.114070,1.114220,0
EURUSD,202006010206,1.114220,1.114250,1.114100,1.114100,0
EURUSD,202006010207,1.114110,1.114260,1.114090,1.114240,0
EURUSD,202006010208,1.114230,1.114360,1.114180,1.114360,0
EURUSD,202006010209,1.114350,1.114400,1.114300,1.114350,0
EURUSD,202006010210,1.114340,1.114440,1.114310,1.114440,0
EURUSD,202006010211,1.114420,1.114470,1.114380,1.114400,0
EURUSD,202006010212,1.114410,1.114860,1.114410,1.114850,0
EURUSD,202006010213,1.114860,1.115040,1.114790,1.115020,0
EURUSD,202006010214,1.115020,1.115030,1.114400,1.114530,0
EURUSD,202006010215,1.114520,1.114760,1.114520,1.114650,0
EURUSD,202006010216,1.114650,1.114720,1.114540,1.114640,0
EURUSD,202006010217,1.114640,1.114850,1.114580,1.114850,0
EURUSD,202006010218,1.114840,1.114840,1.114250,1.114260,0
EURUSD,202006010219,1.114270,1.114580,1.114270,1.114550,0
EURUSD,202006010220,1.114530,1.114530,1.114330,1.114480,0
EURUSD,202006010221,1.114490,1.114490,1.114180,1.114280,0
EURUSD,202006010222,1.114270,1.114490,1.114270,1.114360,0
EURUSD,202006010223,1.114350,1.114490,1.114280,1.114280,0
EURUSD,202006010224,1.114280,1.114410,1.114220,1.114320,0
EURUSD,202006010225,1.114310,1.114380,1.114250,1.114310,0
EURUSD,202006010226,1.114300,1.114370,1.114210,1.114320,0
EURUSD,202006010227,1.114350,1.114370,1.114280,1.114340,0
EURUSD,202006010228,1.114360,1.114430,1.114270,1.114320,0
EURUSD,202006010229,1.114350,1.114420,1.114250,1.114360,0
EURUSD,202006010230,1.114360,1.114400,1.114250,1.114270,0
EURUSD,202006010231,1.114290,1.114430,1.114200,1.114220,0
EURUSD,202006010232,1.114210,1.114290,1.114080,1.114180,0
EURUSD,202006010233,1.114160,1.114260,1.114120,1.114240,0
EURUSD,202006010234,1.114220,1.114400,1.114190,1.114240,0
EURUSD,202006010235,1.114220,1.114220,1.114110,1.114170,0
EURUSD,202006010236,1.114180,1.114340,1.114150,1.114200,0
EURUSD,202006010237,1.114190,1.114190,1.114100,1.114140,0
EURUSD,202006010238,1.114140,1.114180,1.114100,1.114120,0
EURUSD,202006010239,1.114120,1.114150,1.114020,1.114030,0
EURUSD,202006010240,1.114040,1.114040,1.113810,1.113960,0
EURUSD,202006010241,1.113960,1.113960,1.113880,1.113910,0
EURUSD,202006010242,1.113900,1.114040,1.113880,1.113980,0
